time,values
0.742,-0.934
0.744,-0.893
0.746,-0.99
0.748,0.403
0.75,0.463
0.752,0.376
0.754,-0.435
0.756,-0.792
0.758,0.959
0.76,0.137
0.762,-0.0751
0.764,1.12
0.766,0.0781
0.768,-0.891
0.77,-0.397
0.772,0.257
0.774,0.751
0.776,-0.0181
0.778,-0.853
0.78,0.507
0.782,0.0138
0.784,-0.129
0.786,-0.656
0.788,-0.373
0.79,0.226
0.792,0.584
0.794,0.308
0.796,-0.267
0.798,0.233
0.8,-0.465
0.802,-0.012
0.804,-3.06E-05
0.806,-0.164
0.808,0.0399
0.81,0.0794
0.812,0.101
0.814,0.0898
0.816,0.0965
0.818,0.12
0.82,0.113
0.822,0.0697
0.824,0.0346
0.826,0.0726
0.828,0.0407
0.83,0.0587
0.832,0.0776
0.834,0.0579
0.836,0.107
0.838,0.0913
0.84,0.0907
0.842,0.117
0.844,0.0612
0.846,0.121
0.848,0.065
0.85,0.0662
0.852,0.0919
0.854,0.118
0.856,0.0437
0.858,0.0706
0.86,0.102
0.862,0.101
0.864,0.0853
0.866,0.0719
0.868,0.0762
0.87,0.113
0.872,0.0654
0.874,0.0445
0.876,0.0817
0.878,0.0601
0.88,0.0862
0.882,0.0501
0.884,0.0931
0.886,0.0547
0.888,0.0494
0.89,0.0507
0.892,0.0763
0.894,0.103
0.896,0.0751
0.898,0.0732
0.9,0.0248
0.902,0.113
0.904,0.0548
0.906,0.113
0.908,0.0368
0.91,0.055
0.912,0.0934
0.914,0.084
0.916,0.131
0.918,0.0679
0.92,0.0737
0.922,0.0599
0.924,0.036
0.926,0.0895
0.928,0.0616
0.93,0.0611
0.932,0.0764
0.934,0.0738
0.936,0.0645
0.938,0.11
0.94,0.0835
0.942,0.0492
0.944,0.135
0.946,0.11
0.948,0.0794
0.95,0.126
0.952,0.078
0.954,0.0716
0.956,0.0325
0.958,0.0587
0.96,0.0437
0.962,0.0718
0.964,0.0719
0.966,0.0717
0.968,0.0511
0.97,0.107
0.972,0.0989
0.974,0.0753
0.976,0.0296
0.978,0.0623
0.98,0.0799
0.982,0.0473
0.984,0.082
0.986,0.0393
0.988,0.0549
0.99,0.0734
0.992,0.0925
0.994,0.11
0.996,0.111
0.998,0.0904
1,0.0449
1.002,0.0356
1.004,0.0992
1.006,0.0781
1.008,0.0374
1.01,0.0815
1.012,0.06
1.014,0.125
1.016,0.07
1.018,0.0981
1.02,0.0412
1.022,0.0505
1.024,0.0983
1.026,0.0366
1.028,0.0617
1.03,0.0342
1.032,0.0942
1.034,0.0705
1.036,0.106
1.038,0.105
1.04,0.132
1.042,0.0501
1.044,0.117
1.046,0.1
1.048,0.0572
1.05,0.0496
1.052,0.0799
1.054,0.0377
1.056,0.124
1.058,0.113
1.06,0.0471
1.062,0.0648
1.064,0.0779
1.066,0.0952
1.068,0.0671
1.07,0.0913
1.072,0.0489
1.074,0.0648
1.076,0.0353
1.078,0.088
1.08,0.032
1.082,0.0734
1.084,0.0577
1.086,0.0345
1.088,0.0517
1.09,0.0641
1.092,0.119
1.094,0.067
1.096,0.0933
1.098,0.158
1.1,0.701
1.102,0.731
1.104,-0.143
1.106,0.842
1.108,0.719
1.11,0.963
1.112,0.757
1.114,-0.718
1.116,-0.898
1.118,-0.36
1.12,0.113
1.122,-0.0218
1.124,-0.431
1.126,0.829
1.128,-0.187
1.13,1.04
1.132,0.546
1.134,-0.339
1.136,-1.08
1.138,0.443
1.14,-0.363
1.142,0.372
1.144,0.46
1.146,0.298
1.148,-0.573
1.15,-0.577
1.152,0.986
1.154,0.492
1.156,-0.543
1.158,-0.734
1.16,0.438
1.162,0.494
1.164,-0.000343
1.166,-0.331
1.168,-0.411
1.17,0.425
1.172,0.0834
1.174,0.41
1.176,0.755
1.178,0.67
1.18,-0.71
1.182,0.548
1.184,0.448
1.186,0.758
1.188,0.3
1.19,0.602
1.192,0.614
1.194,0.291
1.196,-0.787
1.198,-0.821
1.2,0.777
1.202,-1.03
1.204,0.555
1.206,0.565
1.208,0.802
1.21,0.636
1.212,-0.775
1.214,0.378
1.216,-0.0891
1.218,-0.87
1.22,0.0366
1.222,0.747
1.224,0.493
1.226,0.65
1.228,-0.849
1.23,-0.198
1.232,-0.103
1.234,-1.01
1.236,0.211
1.238,0.578
1.24,-0.532
1.242,0.307
1.244,-0.537
1.246,-0.582
1.248,-0.205
1.25,-0.648
1.252,-0.22
1.254,0.39
1.256,0.505
1.258,0.905
1.26,0.362
1.262,-0.859
1.264,-0.398
1.266,0.407
1.268,0.563
1.27,0.758
1.272,-0.987
1.274,0.811
1.276,-0.316
1.278,0.933
1.28,0.0441
1.282,-0.38
1.284,0.223
1.286,0.195
1.288,0.851
1.29,-0.497
1.292,-0.0809
1.294,0.549
1.296,0.00963
1.298,-0.215
1.3,0.0905
1.302,-0.428
1.304,-0.57
1.306,-0.00676
1.308,0.785
1.31,-0.712
1.312,-0.961
1.314,-0.154
1.316,1.4
1.318,0.396
1.32,0.159
1.322,-0.174
1.324,1
1.326,0.821
1.328,0.962
1.33,0.728
1.332,0.777
1.334,0.128
1.336,1.07
1.338,-0.00489
1.34,0.714
1.342,0.503
1.344,-0.017
1.346,-0.893
1.348,0.439
1.35,-0.24
1.352,0.451
1.354,0.516
1.356,-0.654
1.358,0.226
1.36,0.593
1.362,-0.572
1.364,-0.324
1.366,-0.277
1.368,-0.371
1.37,-0.31
1.372,-0.135
1.374,-0.227
1.376,-0.175
1.378,0.23
1.38,0.791
1.382,0.534
1.384,-0.00992
1.386,-0.339
1.388,-0.0658
1.39,-0.00616
1.392,0.924
1.394,0.0678
1.396,-0.353
1.398,0.117
1.4,0.248
1.402,-0.983
1.404,-0.473
1.406,-0.647
1.408,-0.753
1.41,-0.434
1.412,0.185
1.414,1.03
1.416,0.288
1.418,-0.0783
1.42,-0.228
1.422,-0.0735
1.424,-0.446
1.426,0.702
1.428,0.201
1.43,0.764
1.432,-0.351
1.434,0.787
1.436,-0.0872
1.438,0.294
1.44,0.447
1.442,0.154
1.444,0.361
1.446,-0.299
1.448,0.389
1.45,0.845
1.452,-0.571
1.454,-0.172
1.456,0.861
1.458,-0.333
1.46,0.0458
1.462,-0.135
1.464,-0.671
1.466,0.964
1.468,-0.551
1.47,-0.834
1.472,0.25
1.474,-0.0597
1.476,-0.527
1.478,0.563
1.48,0.184
1.482,-0.205
1.484,-0.846
1.486,0.769
1.488,0.288
1.49,-0.695
1.492,-0.163
1.494,0.88
1.496,0.419
1.498,-0.761
1.5,0.362
1.502,-0.55
1.504,0.354
1.506,0.0178
1.508,-0.228
1.51,-0.358
1.512,-0.596
1.514,0.542
1.516,1.01
1.518,-0.135
1.52,0.636
1.522,0.508
1.524,0.682
1.526,0.634
1.528,0.417
1.53,-0.0057
1.532,-0.711
1.534,-0.243
1.536,0.843
1.538,0.733
1.54,-0.515
1.542,-0.544
1.544,0.894
1.546,0.716
1.548,-0.197
1.55,0.616
1.552,-0.168
1.554,0.755
1.556,-0.523
1.558,-0.546
1.56,-0.942
1.562,-0.466
1.564,-0.525
1.566,0.198
1.568,0.57
1.57,-0.262
1.572,0.195
1.574,0.0626
1.576,0.238
1.578,-0.344
1.58,-0.787
1.582,0.672
1.584,-0.38
1.586,0.0928
1.588,0.606
1.59,-0.0808
1.592,-0.127
1.594,-0.114
1.596,0.616
1.598,0.892
